dataset,implementacao,config,tempo_ms,sse
pequeno,CUDA,-,41.2,1863826.514252
pequeno,OpenMP+CUDA,1t,109.9,1863826.514252
pequeno,OpenMP+CUDA,2t,83.3,1863826.514252
pequeno,OpenMP+CUDA,4t,85.7,1863826.514252
pequeno,OpenMP+CUDA,8t,94.6,1863826.514252
pequeno,MPI+CUDA,1p,115.3,1863826.514252
medio,CUDA,-,31.8,1201904.810535
medio,OpenMP+CUDA,1t,101.1,1201904.810535
medio,OpenMP+CUDA,2t,100.4,1201904.810535
medio,OpenMP+CUDA,4t,120.9,1201904.810535
medio,OpenMP+CUDA,8t,110.5,1201904.810535
medio,MPI+CUDA,1p,107.9,1201904.810535
grande,CUDA,-,246.7,3245639.673338
grande,OpenMP+CUDA,1t,427.9,3245639.673338
grande,OpenMP+CUDA,2t,585.8,3245639.673338
grande,OpenMP+CUDA,4t,548.9,3245639.673338
grande,OpenMP+CUDA,8t,493.8,3245639.673338
grande,MPI+CUDA,1p,419.8,3245639.673338
