"dataset","implementacao","config","tempo_ms","sse"
"pequeno","Serial","-","0","1863826.514252"
"medio","Serial","-","15","1201904.810535"
"grande","Serial","-","510","3245639.673338"
"pequeno","OpenMP","2t","2","1863826.514252"
"pequeno","OpenMP","4t","1","1863826.514252"
"pequeno","OpenMP","8t","2","1863826.514252"
"medio","OpenMP","2t","23","1201904.810535"
"medio","OpenMP","4t","12","1201904.810535"
"medio","OpenMP","8t","10","1201904.810535"
"grande","OpenMP","2t","306","3245639.673338"
"grande","OpenMP","4t","270","3245639.673338"
"grande","OpenMP","8t","187","3245639.673338"
"pequeno","MPI","2p","0.5","1863826.514252"
"medio","MPI","2p","12.7","1201904.810535"
"grande","MPI","2p","291.5","3245639.673338"
